gene_name_1,gene_name_2,co_occurrence
growth,5x104,1
growth,epidermal,9
growth,smooth,3
growth,requires,2
growth,proliferation,4
growth,signaling,2
growth,factor,12
growth,cell,5
growth,results,1
growth,receptor,7
growth,muscle,3
mediated,human,2
mediated,smooth,3
mediated,proliferation,3
mediated,cell,3
mediated,urokinase,1
mediated,transactivation,2
mediated,muscle,3
human,smooth,7
human,proliferation,6
human,signaling,1
human,cell,5
human,triple,1
human,urokinase,1
human,transactivation,3
human,membrane,1
human,receptor,1
human,muscle,7
human,protease,2
1-10,protease,1
epidermal,smooth,2
epidermal,requires,2
epidermal,proliferation,2
epidermal,signaling,1
epidermal,factor,9
epidermal,cell,3
epidermal,receptor,7
epidermal,muscle,2
smooth,requires,1
smooth,proliferation,11
smooth,signaling,2
smooth,factor,2
smooth,cell,13
smooth,urokinase,2
smooth,transactivation,4
smooth,receptor,2
smooth,muscle,20
smooth,protease,2
requires,proliferation,1
requires,signaling,1
requires,factor,2
requires,cell,2
requires,transactivation,1
requires,membrane,1
requires,receptor,3
requires,muscle,1
requires,protease,1
proliferation,signaling,2
proliferation,factor,2
proliferation,cell,17
proliferation,triple,1
proliferation,urokinase,1
proliferation,transactivation,5
proliferation,membrane,1
proliferation,receptor,1
proliferation,muscle,11
proliferation,protease,4
signaling,factor,2
signaling,cell,4
signaling,triple,2
signaling,transactivation,2
signaling,membrane,2
signaling,receptor,3
signaling,muscle,2
signaling,protease,2
factor,cell,3
factor,results,1
factor,receptor,7
factor,muscle,2
cell,results,1
cell,triple,1
cell,urokinase,2
cell,transactivation,5
cell,membrane,5
cell,receptor,3
cell,muscle,13
cell,protease,4
results,membrane,1
results,protease,1
triple,transactivation,2
triple,membrane,2
triple,protease,1
urokinase,transactivation,1
urokinase,muscle,3
transactivation,membrane,2
transactivation,receptor,3
transactivation,muscle,4
transactivation,protease,2
membrane,receptor,1
membrane,protease,3
receptor,muscle,2
receptor,protease,1
muscle,protease,2
