Gene,Reference
collagen receptors,collagen receptors
paxillin sirna duplex,paxillin sirna duplex
α2β1 integrin,α2β1 integrin
rac1g12v,rac1g12v
integrin β1,integrin β1
proline-rich tyrosine kinase 2,proline-rich tyrosine kinase 2
p130 crk-associated substrate,p130 crk-associated substrate
gtpases,gtpases
rac1t17n,rac1t17n
β1 integrin,β1 integrin
rac1t17 n,rac1t17 n
human fak sirna duplex,human fak sirna duplex
rcas,rcas
wingless,wingless
rowth factor,rowth factor
rag‐1,rag‐1
fusion tyrosine kinase,fusion tyrosine kinase
ptk787,ptk787
fusion rtk,fusion rtk
platelet‐derived growth factor‐b,platelet‐derived growth factor‐b
nfkb,nfkb
ptch,hist1h4d
rtks,rtks
phospatase‐2,phospatase‐2
bcl‐2,bcl‐2
trialsbrca2,trialsbrca2
tv,tv
patched1,patched1
fig‐ros,fig‐ros
truncated sv40 t antigen,truncated sv40 t antigen
myc,myc
smoa1,smoa1
growth factor b‐chain retrovirusink4a,growth factor b‐chain retrovirusink4a
ha‐ras,ha‐ras
ptc1,hist1h4d
s100ß promoter,s100ß promoter
dna repair,dna repair
rosine kinases,rosine kinases
patched,patched
aktdissecting,aktdissecting
tgfdown,tgfdown
adam 9,adam 9
"caspases 3, 6 and 8","caspases 3, 6 and 8"
farnesyl transferase,farnesyl transferase
nf-oncogenic k-ras,nf-oncogenic k-ras
metalloproteinaseextracellular signal-regulated kinasec-jun n-terminal kinasemitogen activated phosphorylated kinaseshedgehog,metalloproteinaseextracellular signal-regulated kinasec-jun n-terminal kinasemitogen activated phosphorylated kinaseshedgehog
telomerase,telomerase
upstream map2k kinase,upstream map2k kinase
wnt-target,wnt-target
pdac,pdac
dna damage repair,dna damage repair
cancer susceptibility,cancer susceptibility
adam proteins,adam proteins
adams,adams
nf-mapkinase,nf-mapkinase
mutant c-k-ras genesactivated,mutant c-k-ras genesactivated
ic cancerprotein kinase ciota,ic cancerprotein kinase ciota
map kinasesmap2k4,map kinasesmap2k4
mismatch repair family,mismatch repair family
brca2 6174delt mutations,brca2 6174delt mutations
fanconi anemia genes,fanconi anemia genes
endodermal sonic hedgehog,endodermal sonic hedgehog
adam,adam
tumor suppressork-ras,tumor suppressork-ras
transforming growth factor tgf,transforming growth factor tgf
n34s mutation,n34s mutation
catenins,catenins
foxo,foxo
tgf,tgf
cdk4pancreatic,cdk4pancreatic
bmp,bmp
interleukin-1effects,interleukin-1effects
tgf-smad4,tgf-smad4
bcl-x,ppp1r52
executioner caspases,executioner caspases
pdacs,pdacs
transforming growth factor tgf-ras,transforming growth factor tgf-ras
a-disintegrin,a-disintegrin
adam 15 mrna,adam 15 mrna
mitogen activated phosphorylated kinases,mitogen activated phosphorylated kinases
actin filaments,actin filaments
notch-1,notch-1
stic factor,stic factor
tumormtor,tumormtor
hedgehog ligand,hedgehog ligand
proteins,proteins
brca2 regionfunctional,brca2 regionfunctional
cdkn2a mutation,cdkn2a mutation
tgfmekk-1,tgfmekk-1
cationic trypsinogen gene,cationic trypsinogen gene
transforming growth factor tumor necrosis factor interleukin 1matrix metalloproteinase 7familial,transforming growth factor tumor necrosis factor interleukin 1matrix metalloproteinase 7familial
catenin,catenin
apaf1,wdr19
matrixa-disintegrin,matrixa-disintegrin
mismatch repair genes,mismatch repair genes
pan-erbb,pan-erbb
mutant egfr,mutant egfr
her-3,her-3
egfr gene mutations,egfr gene mutations
krashuman,krashuman
nrg1,hgl
erbb3erbb3,erbb3erbb3
epidermal growth factor receptor-related genechanges,epidermal growth factor receptor-related genechanges
her3erbb3,her3erbb3
her3targeting,her3targeting
erbb family,erbb family
kras gene mutations,kras gene mutations
her family dimers,her family dimers
erbb family members,erbb family members
erbb members,erbb members
human epidermal growth factor receptor,human epidermal growth factor receptor
her4 protein,her4 protein
tep,tep
heregulins,heregulins
humanized,humanized
insulin gene familyclose,insulin gene familyclose
her family,her family
transforming growth factor alphahuman,transforming growth factor alphahuman
rtk,rtk
epidermal growth factoridentification,epidermal growth factoridentification
her3 ligands,her3 ligands
sitide 3-kinasethe,sitide 3-kinasethe
pi3 k,pi3 k
erbb receptorsprognostic,erbb receptorsprognostic
her1,errp
her pair,her pair
hers,hers
missak,missak
her receptors,her receptors
erbb3 proteinerbb receptors,erbb3 proteinerbb receptors
neu oncogenemolecular,neu oncogenemolecular
rbb2,rbb2
her2erbb3,her2erbb3
shc binding site,shc binding site
egf) receptor,egf) receptor
phosphatidylinositol 3′-,phosphatidylinositol 3′-
erbb3phosphotyrosine,erbb3phosphotyrosine
erbb ligands,erbb ligands
cellserbb3,cellserbb3
v-erb-b oncogene,v-erb-b oncogene
her,her
erbb3ibc,erbb3ibc
pertuzumab,pertuzumab
her3 monoclonal antibody,her3 monoclonal antibody
her family members,her family members
egfrviii,egfrviii
erbb homo- and heterodimersacademic,erbb homo- and heterodimersacademic
mitogen-activated protein kinasetransformation,mitogen-activated protein kinasetransformation
erbb1,errp
her-family,her-family
factor receptor cdna sequence,factor receptor cdna sequence
p85,ppp1r13b
errb3,errb3
nositol 3’-kinase,nositol 3’-kinase
epidermal growth factorinsulin-like growth factor ii precursor gene,epidermal growth factorinsulin-like growth factor ii precursor gene
erbb-receptor kinase familymutation,erbb-receptor kinase familymutation
erbb2toward,erbb2toward
her-2/,her-2/
tyrosine kinases,tyrosine kinases
her3compensatory,her3compensatory
erbb family receptors,erbb family receptors
erbb-,erbb-
cblcbl,cblcbl
cbl interactome,cbl interactome
gex-3 proteins,gex-3 proteins
ubiquitinthe,ubiquitinthe
meh,ephx
let-23,let-23
mig-2,mgc10966
ced-12,ced-12a
gex-2,gex-2
syk,imd82
let-60,let-60
rac proteins,rac proteins
zap-70 kinasethe,zap-70 kinasethe
sh3,sh3
cbl family,cbl family
racmechanism,racmechanism
m02a10,m02a10
rac1tula,rac1tula
phosphoinositide phosphatase mtm,phosphoinositide phosphatase mtm
uncation minigene,uncation minigene
unc-73,unc-73
uba-containing protein,uba-containing protein
gfp transgene,gfp transgene
adapter protein ced-2,adapter protein ced-2
ubiquitin ligase domain,ubiquitin ligase domain
c-ablgenes,c-ablgenes
n-terminal tkb domain,n-terminal tkb domain
ring,ring
heterodimeric guanine nucleotide exchange factor ced-5,heterodimeric guanine nucleotide exchange factor ced-5
small gtpases,small gtpases
60 ras,60 ras
small gtpase,small gtpase
let,let
gfp,gfp
aps family,aps family
abi-1,abi-1
pin mammals,pin mammals
dyn-1,dyn-1
srgp-1,srgp-1
nckthe,nckthe
adapter proteinsslap,adapter proteinsslap
sli-1 homolog,sli-1 homolog
ced-5,ced-5
tubulin,tubulin
kappa bhiv-1 tat protein,kappa bhiv-1 tat protein
elastin,elastin
iκb-α,iκb-α
mouse anti-mouse β-actin monoclonal antibody,mouse anti-mouse β-actin monoclonal antibody
claudin family,claudin family
metalloproteinase-9,metalloproteinase-9
mmps,mmps
nf-κb,nf-κb
anti-goat igg,anti-goat igg
nf,nf
p-nf-κb,p-nf-κb
occludinorganization,occludinorganization
tight junction proteins,tight junction proteins
matrix metalloproteinase-9hiv-1,matrix metalloproteinase-9hiv-1
csf claudin-5,csf claudin-5
human amyloid precursor protein,human amyloid precursor protein
tight junction,tight junction
matrix metalloproteinase (mmp)-9,matrix metalloproteinase (mmp)-9
brain claudin-5,brain claudin-5
anti-mouse monoclonal,anti-mouse monoclonal
hrp,hrp
metalloproteinases 2 and 9,metalloproteinases 2 and 9
"claudin-1, -2 and -5","claudin-1, -2 and -5"
protease,nr3c3
goat anti-mouse albumin polyclonal antibody,goat anti-mouse albumin polyclonal antibody
β-actin,β-actin
p-p65,p-p65
albumin,albumin
-csf,-csf
anti-rabbit igg,anti-rabbit igg
p-iκb-α,p-iκb-α
lum stressjnk1,lum stressjnk1
p70s6k protein,p70s6k protein
mtorc1,mtorc1
siraptor (a),siraptor (a)
bh3-only proteinsire1,bh3-only proteinsire1
p70s6k,p70s6k
stresstor,stresstor
siraptor,siraptor
caspase-3 (i),caspase-3 (i)
binding protein,binding protein
dn,dn
ire1αδrnase (a–c),ire1αδrnase (a–c)
ire1αk599a,ire1αk599a
erad factors,erad factors
ire1αδrnase,ire1αδrnase
rapamyci,rapamyci
ire1αfine,ire1αfine
sitsc2 (b–d),sitsc2 (b–d)
bh,smc3l1
rnase-deleted mutant,rnase-deleted mutant
"sitsc2 (d, e)","sitsc2 (d, e)"
eif2α,eif2α
phosphorylated jnk (a),phosphorylated jnk (a)
regulatory associated protein of,regulatory associated protein of
xbp1 (a),xbp1 (a)
dutp-biotin,dutp-biotin
endoplasmic reticular bakmap4k3,endoplasmic reticular bakmap4k3
sitsc2,sitsc2
ire1α,ire1α
procaspase-3,procaspase-3
ire1α interactomemitochondrial,ire1α interactomemitochondrial
sictrl,sictrl
ha-ras,ha-ras
terminal deoxynucleotidyl transferase,terminal deoxynucleotidyl transferase
thyroid peroxidasemenadione,thyroid peroxidasemenadione
c-jun activation domainregulation,c-jun activation domainregulation
tunel,tunel
human proteomedynein light chain,human proteomedynein light chain
pmossci,pmossci
d bhaumik,d bhaumik
bim,smc3l1
betanac,betanac
kri-1,kri-1
ppw-1,ppw-1
ced-9,ced-9
dlc,dlc
rde-2,rde-2
ced-13,ced-13
adaptor,adaptor
dyneincytoplasmic dynein,dyneincytoplasmic dynein
low density lipoprotein receptor-related protein,low density lipoprotein receptor-related protein
lc8,dncl1
dynein light chain,dynein light chain
egl-1,egl-1
ced-3,ced-3
paz,paz
dynein motor complexp53,dynein motor complexp53
dyneinthe,dyneinthe
dynein complexes,dynein complexes
apoptotic machinery gene,apoptotic machinery gene
dynll,dynll
surface antigen,surface antigen
sanglifehrin ,sanglifehrin 
fhit,fhit
cd147 transmembrane domainphosphorylation,cd147 transmembrane domainphosphorylation
small surface proteins,small surface proteins
maleylacetoacetate isomeraseoxidative,maleylacetoacetate isomeraseoxidative
elastase,elastase
v3,v3
scavenger receptors,scavenger receptors
interferon-alphaedited,interferon-alphaedited
maldi-tof mass spectrometrycyclosporin a,maldi-tof mass spectrometrycyclosporin a
apoe3,apoe3
apoe4,apo-e
cd147oxidative,cd147oxidative
shbs,shbs
nf-kb,nfkb-p105
p85beta subunit,p85beta subunit
fructose-1,fructose-1
pegylated interferon-alpha,pegylated interferon-alpha
cyclophilin receptor,cyclophilin receptor
bly complexa,bly complexa
cyps,cyps
apoe2,apoe2
-density lipoprotein receptor-related protein 1,-density lipoprotein receptor-related protein 1
pifn,pifn
cyp,ppig
f-actin,f-actin
hiv-1 vpr,hiv-1 vpr
proliferationcyclophilin a,proliferationcyclophilin a
emmprin,emmprin
hepatitis c virus ns5a proteinhepatitis,hepatitis c virus ns5a proteinhepatitis
ecreases,ecreases
ifnalpha2a,ifnalpha2a
clophilin a,clophilin a
apoptosis-inducing factor,apoptosis-inducing factor
cu/zn superoxide dismutase-1,cu/zn superoxide dismutase-1
6-bisphosphatase,6-bisphosphatase
g melinothe,g melinothe
endogenous cypa,endogenous cypa
rinterferon type imatrix protein 1hypoxia,rinterferon type imatrix protein 1hypoxia
ppia,cyph
cyclosporin a-binding protein,cyclosporin a-binding protein
ldl,ldl
hif1cypa,hif1cypa
hif1choi,hif1choi
molecular chaperonescyclophilin,molecular chaperonescyclophilin
human cyclophilin,human cyclophilin
p53 proteinoligo,p53 proteinoligo
cypa ligand,cypa ligand
immunodeficiency virus type-1 envelope protein,immunodeficiency virus type-1 envelope protein
stomatitis virus new jersey serotypenucleocapsid protein,stomatitis virus new jersey serotypenucleocapsid protein
il-8,zap128
enos,enos
trans-isomerasecyclosporin,trans-isomerasecyclosporin
sion molecule,sion molecule
phosphatidylinositol 3-kinaseidentification,phosphatidylinositol 3-kinaseidentification
cyclophylin ,cyclophylin 
common,common
prolyl isomerasestructures,prolyl isomerasestructures
phospho-erk1/2,phospho-erk1/2
heterogeneous nuclear ribonucleoprotein a2,heterogeneous nuclear ribonucleoprotein a2
acyclophilin a,acyclophilin a
