Gene,Reference
human fak sirna duplex,human fak sirna duplex
praichu-rac,praichu-rac
rac1 mutants,rac1 mutants
crk,mapk14
trypsin,trypsin
rac1t17 n,rac1t17 n
rac1t17n,rac1t17n
gtpases,gtpases
pyk2,cakb
fak,fak
rac1g12v,rac1g12v
p130 crk-associated substrate,p130 crk-associated substrate
collagen receptors,collagen receptors
collagen type i,collagen type i
fyn,syn
mouse fak,mouse fak
tyrosine kinase 2,tyrosine kinase 2
rho family,rho family
integrin,integrin
β1 integrin,β1 integrin
p130cas,p120cas
integrins,integrins
fat domain,fat domain
p130,rab3gap130
mutant paxillin cdna,mutant paxillin cdna
protein tyrosine kinases,protein tyrosine kinases
cdc42,cdc42
paxillin,paxillin
α2β1 integrin,α2β1 integrin
human paxillin cdna,human paxillin cdna
cadherin,cdh17
vegf,vegf
paxillin sirna duplex,paxillin sirna duplex
fak mutants,fak mutants
vinculin,vinculin
n-cadherin,n-cadherin
fas,spf
integrin β1,integrin β1
src,thc6
collagen,collagen
collagen i receptor,collagen i receptor
rac1,rns1
mouse fak cdna,mouse fak cdna
proline-rich tyrosine kinase 2,proline-rich tyrosine kinase 2
cadherins,cadherins
fig‐ros,fig‐ros
p16,p16
mutant epidermal growth factor receptor,mutant epidermal growth factor receptor
rcas,rcas
arf,hist1h4d
pdgfr,cd140b
platelet‐derived growth factor‐b,platelet‐derived growth factor‐b
mammalian target of rapamycin,mammalian target of rapamycin
retinoblastoma gene,retinoblastoma gene
pdgf‐b,pdgf‐b
epidermal growth factor receptor gene,epidermal growth factor receptor gene
s100ß promoter,s100ß promoter
nfkb,nfkb
egfr,errp
mycn oncogene,mycn oncogene
p53 gene,p53 gene
pdgf,pdgf
myc,myc
sonic hedgehog,sonic hedgehog
hedgehog,hedgehog
rowth factor,rowth factor
astrocyte nf1 gene,astrocyte nf1 gene
rtks,rtks
ros oncogene,ros oncogene
fusion rtk,fusion rtk
phosphatidylinositol 3‐kinase,phosphatidylinositol 3‐kinase
patched1,patched1
truncated sv40 t antigen,truncated sv40 t antigen
rb1,rb1
rag‐1,rag‐1
n‐myc,n‐myc
stat3,hies
notch,notch
bcl‐2,bcl‐2
insulin‐like growth factor,insulin‐like growth factor
wingless,wingless
smo,hspc022
p21,tceal1
phospatase‐2,phospatase‐2
rosine kinases,rosine kinases
mtor,frap
trp53 mutant,trp53 mutant
gfap,alxdrd
prb,rb1
dna repair,dna repair
aktdissecting,aktdissecting
akt,cakb
ha‐ras,ha‐ras
epidermal growth factor receptor locus,epidermal growth factor receptor locus
ptch,hist1h4d
ras,ras
kras,ki-ras
smoa1,smoa1
pdgf b‐chain,pdgf b‐chain
erbb,errp
growth factor b‐chain retrovirusink4a,growth factor b‐chain retrovirusink4a
tp53,lfs1
p53,lfs1
tv,tv
nf1,arcl
sh2 domain,sh2 domain
rb,rb1
vegfr,kdr
patched,patched
ptk787,ptk787
trialsbrca2,trialsbrca2
vascular‐endothelial growth factor receptor,vascular‐endothelial growth factor receptor
nestin,nestin
pten,glm2
shh,smmci
ros kinase,ros kinase
pi3k,cst-1
ptc1,hist1h4d
epidermal growth factor receptor,epidermal growth factor receptor
ink4c,apr3
fusion tyrosine kinase,fusion tyrosine kinase
mtap gene,mtap gene
notch ligand,notch ligand
transforming growth factor tgf-ras,transforming growth factor tgf-ras
hh,hfe
mtap,tmem4
bak,bak-like
nf-mapkinase,nf-mapkinase
a-disintegrin,a-disintegrin
upstream map2k kinase,upstream map2k kinase
akt2,pkb-beta
stress-activated protein kinase,stress-activated protein kinase
e-cadherin proteins,e-cadherin proteins
cdkn2a,hist1h4d
mcl-1,thph12
endodermal sonic hedgehog,endodermal sonic hedgehog
farnesyl transferase,farnesyl transferase
wnt,wnt
transforming growth factor tgf,transforming growth factor tgf
map kinasesmap2k4,map kinasesmap2k4
mek,mapkk7
e-cadherin protein,e-cadherin protein
catenin,catenin
caspase-9,caspase-9
ecm,gpia*
cationic trypsinogen gene,cationic trypsinogen gene
cdk4pancreatic,cdk4pancreatic
dna damage repair,dna damage repair
foxo,foxo
executioner caspases,executioner caspases
cytochrome c,cytochrome c
stic factor,stic factor
extracellular signal-regulated kinase,extracellular signal-regulated kinase
fancg,fancg
tgfdown,tgfdown
psti,pctt
brca2 protein,brca2 protein
smad4 protein,smad4 protein
map3k,map3k
map2k,map2k
adam proteins,adam proteins
brca2 regionfunctional,brca2 regionfunctional
cyclin d1,cyclin d1
"caspases 3, 6 and 8","caspases 3, 6 and 8"
akt2 oncogene,akt2 oncogene
actin filaments,actin filaments
adams,adams
smad2,jv18
brca2 6174delt mutations,brca2 6174delt mutations
bmp,bmp
pdac,pdac
brca2,tas2r62p
mitogen activated phosphorylated kinases,mitogen activated phosphorylated kinases
transforming growth factor tumor necrosis factor interleukin 1matrix metalloproteinase 7familial,transforming growth factor tumor necrosis factor interleukin 1matrix metalloproteinase 7familial
metalloproteinaseextracellular signal-regulated kinasec-jun n-terminal kinasemitogen activated phosphorylated kinaseshedgehog,metalloproteinaseextracellular signal-regulated kinasec-jun n-terminal kinasemitogen activated phosphorylated kinaseshedgehog
adam 9,adam 9
sel10,fbxw6
p38,hld17
pdacs,pdacs
cyclin d,cyclin d
mapk,mapk
cdkn2a mutation,cdkn2a mutation
fbxw7,fbxw6
jnk,mapk8
bcl-x(l),bcl-x(l)
tgf-smad4,tgf-smad4
bcl-x,ppp1r52
cancer susceptibility,cancer susceptibility
notch-1,notch-1
spink1,pctt
cdc4,fbxw6
p53 tumour suppressor gene,p53 tumour suppressor gene
metalloproteinase,metalloproteinase
wnt-target,wnt-target
alpha-and beta-catenins,alpha-and beta-catenins
apaf1,wdr19
bax,bcl2l4
mapk kinase,mapk kinase
bcl2,bcl-2
mutant c-k-ras genesactivated,mutant c-k-ras genesactivated
raf protein,raf protein
n34s mutation,n34s mutation
smad4,madh4
ic cancerprotein kinase ciota,ic cancerprotein kinase ciota
mmr proteins,mmr proteins
wild-type k-ras,wild-type k-ras
c-jun,slc39a3
proteins,proteins
