Gene,Reference
proline - rich tyrosine kinase 2,proline - rich tyrosine kinase 2
frnk,fak
fak - related nonkinase,fak - related nonkinase
paxillin,paxillin
n - cadherin,n - cadherin
rac1,rns1
pyk2,cakb
p130cas,p120cas
cadherin,cdh17
integrin,integrin
fak,fak
integrins,integrins
p130 crk - associated substrate,p130 crk - associated substrate
cadherins,cadherins
mutant epidermal growth factor receptor,mutant epidermal growth factor receptor
mammalian target of rapamycin,mammalian target of rapamycin
p21 ‐ ras,p21 ‐ ras
mycn oncogene,mycn oncogene
mycc,myc
pdgf,pdgf
sonic hedgehog,sonic hedgehog
astrocyte nf1 gene,astrocyte nf1 gene
gli,ppd1
insulin ‐ like growth factor,insulin ‐ like growth factor
n ‐ myc,n ‐ myc
neurofibromatosis 1,neurofibromatosis 1
brca2,tas2r62p
ras,ras
platelet ‐ derived growth factor,platelet ‐ derived growth factor
phosphatidylinositol 3 ‐ kinase,phosphatidylinositol 3 ‐ kinase
nf1,arcl
sh2 domain,sh2 domain
ros fusion tyrosine kinase,ros fusion tyrosine kinase
epidermal growth factor receptor,epidermal growth factor receptor
phospatase ‐ 2,phospatase ‐ 2
p16,p16
ink4a,hist1h4d
dpc4,madh4
epidermal growth factor,epidermal growth factor
erbb2,sial1
her proteins,her proteins
shc,shc
neuregulin,neuregulin
her - family tyrosine kinase,her - family tyrosine kinase
her3,ferlk
erbb receptors,erbb receptors
epidermal growth factor receptor - related gene,epidermal growth factor receptor - related gene
protein tyrosine kinase,protein tyrosine kinase
transforming growth factor alpha,transforming growth factor alpha
chicken epidermal growth factor ( egf ) receptor,chicken epidermal growth factor ( egf ) receptor
her3 ) receptor,her3 ) receptor
c - erbb - 3,c - erbb - 3
neu oncogene,neu oncogene
egf family,egf family
heregulin,heregulin
phosphatidylinositol 3 - kinase,phosphatidylinositol 3 - kinase
egf receptor,egf receptor
phosphatidylinositol 3 ’ - kinase,phosphatidylinositol 3 ’ - kinase
erbb3 erbb3,erbb3 erbb3
e,e
erbb,errp
erbb receptor,erbb receptor
c - src,c - src
erbb3,ferlk
egf,egf
tyrosine kinase receptor,tyrosine kinase receptor
c - erbb - 3 binding sites,c - erbb - 3 binding sites
srgp - 1,srgp - 1
gex - 2,gex - 2
ced - 5,ced - 5
elmo,elmo
cbl,cbl
wave1,aoa2
zap - 70 kinase,zap - 70 kinase
sli - 1 cbl,sli - 1 cbl
trio,tgat
abl kinase,abl kinase
wasp - family protein,wasp - family protein
1,1
mig - 2,mig - 2
ced - 10,ced - 10
wave,aoa2
rhog,rhog
rho gtpases,rho gtpases
ced - 12,ced - 12
actin,actin
gef,psmd7
gex - 3 proteins,gex - 3 proteins
rho,rhod
dock180,ced5
nck,nck1
dynamin,dynamin
abi - 1,abi - 1
cbl family proteins,cbl family proteins
scar,psmc1
unc - 73,unc - 73
rac,cakb
src,thc6
syk family,syk family
rhogap,arhgap1
mtm - 1,mtm - 1
protein kinase c,protein kinase c
nk - 1r,nk - 1r
claudin - 5,claudin - 5
metalloproteinase - 9,metalloproteinase - 9
"claudin - 1, - 2 and - 5","claudin - 1, - 2 and - 5"
gfap,alxdrd
plasminogen activators,plasminogen activators
matrix - metalloproteinase - 9,matrix - metalloproteinase - 9
claudin - 1 and - 2,claudin - 1 and - 2
nf - κb,nf - κb
hiv - 1 tat protein,hiv - 1 tat protein
matrix metalloproteinase - 9,matrix metalloproteinase - 9
occludin,occludin
sp,sml1
ha - ras,ha - ras
folliculin,folliculin
mtor,frap
catalase,catalase
caspase,caspase
ire1,ire1a
jnk1,mapk8
mapk,mapk
c - jun activation domain,c - jun activation domain
tor,rorc
8 - kda dynein light chain,8 - kda dynein light chain
dynein motor complex p53,dynein motor complex p53
lc,lc
crkii,mapk14
gulp,gulp1
cd91,lambr
caenorhabditis elegans p53,caenorhabditis elegans p53
dynein,dynein
dynein light chain 1,dynein light chain 1
cyclin - dependent kinase 2,cyclin - dependent kinase 2
ced - 2,ced - 2
low density lipoprotein receptor - related protein,low density lipoprotein receptor - related protein
p53 - binding protein 1,p53 - binding protein 1
ced - 1,ced - 1
lrp,lrp
ced - 6,ced - 6
p53,lfs1
bcl - 2 family member bim,bcl - 2 family member bim
dynein cytoplasmic dynein,dynein cytoplasmic dynein
eph receptor,eph receptor
prolyl isomerase,prolyl isomerase
nuclear ribonucleoprotein a2,nuclear ribonucleoprotein a2
erk1 / 2,erk1 / 2
cxcr4,lap-3
vid22p,vid22p
human cyclophilin a prolyl isomerase,human cyclophilin a prolyl isomerase
peptidyl prolyl cis - trans isomerase,peptidyl prolyl cis - trans isomerase
cyclophilin a - def,cyclophilin a - def
zpr1,znf259
cyclophilin a,cyclophilin a
cyclophilin - gag,cyclophilin - gag
immunophilins,immunophilins
cyclophilin a peptidyl - prolyl isomerase,cyclophilin a peptidyl - prolyl isomerase
ninaa gene,ninaa gene
apoptosis - inducing factor,apoptosis - inducing factor
