Gene,Reference
praichu-rac,praichu-rac
rac1 mutants,rac1 mutants
fig. s4,fig. s4
crk,mapk14
trypsin,trypsin
fat,gp6
vascular,vascular
fa,fanch
pyk2,cakb
breast,breast
fak,fak
collagen type i,collagen type i
prostate,prostate
fyn,syn
mouse fak,mouse fak
rho family gtpases,rho family gtpases
paxillin sirna,paxillin sirna
tyrosine kinase 2,tyrosine kinase 2
fig. s1,fig. s1
lung,lung
pbs,pbr
p130cas,p120cas
fak-related nonkinase,fak-related nonkinase
fat domain,fat domain
p130,rab3gap130
rac1 (rac1g12v),rac1 (rac1g12v)
mutant paxillin cdna,mutant paxillin cdna
frnk,fak
protein tyrosine kinases like src,protein tyrosine kinases like src
protein tyrosine kinases,protein tyrosine kinases
human fak sirna,human fak sirna
cdc42,cdc42
paxillin,paxillin
human paxillin cdna,human paxillin cdna
cadherin,cdh17
nh,nh
fak mutants,fak mutants
vinculin,vinculin
n-cadherin,n-cadherin
crk-associated substrate,crk-associated substrate
fas,spf
recruitment,recruitment
collagen i receptor,collagen i receptor
integrin β1–positive fas,integrin β1–positive fas
rac1,rns1
mouse fak cdna,mouse fak cdna
dna ligase,dna ligase
sv40 t antigen,sv40 t antigen
cerebellum,cerebellum
p21‐ras,p21‐ras
recombinant platelet‐derived growth factor b‐chain,recombinant platelet‐derived growth factor b‐chain
pten mutation,pten mutation
ptc1(+/−)p53,ptc1(+/−)p53
smo,hspc022
receptor tyrosine kinases,receptor tyrosine kinases
brain,brain
human glioblastoma genes,human glioblastoma genes
kras,ki-ras
pdgf b‐chain,pdgf b‐chain
gbm,gbm
optic nerve,optic nerve
p53,lfs1
vegfr,kdr
c‐myc,c‐myc
shh,smmci
ros kinase,ros kinase
epidermal growth factor receptor,epidermal growth factor receptor
cerebellar,cerebellar
p16,p16
pdgf‐b,pdgf‐b
retinoblastoma gene,retinoblastoma gene
platelet‐derived growth factor,platelet‐derived growth factor
syndrome,syndrome
tumor–stroma,tumor–stroma
sh2 domain‐containing phospatase‐2,sh2 domain‐containing phospatase‐2
bone structure,bone structure
basic fibroblast growth factor,basic fibroblast growth factor
akt,cakb
brca2,tas2r62p
ras,ras
ku80,xrcc5
axis,axis
desmoplastic,desmoplastic
ink4c,apr3
mutant epidermal growth factor receptor,mutant epidermal growth factor receptor
epidermal growth factor receptor gene,epidermal growth factor receptor gene
parenchyma,parenchyma
rcas‐akt‐driven,rcas‐akt‐driven
re‐use,re‐use
pdgf,pdgf
sonic hedgehog,sonic hedgehog
