S/N,PMCID,GENES,COUNT,SCORE
1,PMC6681686,"cxcr4,opg",2,0.08
2,PMC3655991,ire1,1,0.0455
3,PMC5541090,,0,0
4,PMC5238375,"ace,ace2",2,0.0606
5,PMC6241696,,0,0
6,PMC3932947,en2,1,0.037
7,PMC5482458,ets1,1,0.037
8,PMC5967041,cdcp1,1,0.0345
9,PMC6675870,"bak,bax",2,0.087
10,PMC6322368,"stim1,orai1",2,0.0769
11,PMC3978517,rpa,1,0.027
12,PMC5642883,,0,0
13,PMC5908975,"integrins,fibronectin,akt,p53,fak,cyclin d1",6,0.1333
14,PMC5788631,yap,1,0.037
15,PMC3502787,erbb3,1,0.0222
16,PMC3068308,,0,0
17,PMC2172299,"rac1,integrin,fak,p130cas,paxillin",5,0.2273
18,PMC4826221,atm,1,0.05
19,PMC3521709,"rac,dock180",2,0.0377
20,PMC3591436,,0,0
21,PMC6820189,,0,0
22,PMC5037850,,0,0
23,PMC4057701,"myd88,trif",2,0.0833
24,PMC4061041,"atm,sclu",2,0.0645
25,PMC5850946,"ccnd1,ywhaz,pten",3,0.1071
26,PMC5949124,,0,0
27,PMC3920964,,0,0
28,PMC6643126,"metformin,pkm2",2,0.0909
29,PMC2659383,gli,1,0.0333
30,PMC4536527,"tlr4,vegf",2,0.0556
31,PMC3789177,,0,0
32,PMC6307990,ido1,1,0.0526
33,PMC3946494,"muc4,akt,her2",3,0.1875
34,PMC6451008,"mtor,nos1,pten,akt",4,0.2857
,,,49,1.9535
